,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Jimmy Vesey,BUF,LW,29,3,6,9,10,9,46,1,0,0,1,0,14,8
Zach Sanford,STL,LW,26,3,7,10,3,14,32,1,0,0,0,0,44,11
Brett Pesce,CAR,D,31,3,6,9,2,14,59,0,0,0,0,0,14,49
Joakim Nordstrom,BOS,C,21,3,1,4,0,4,28,0,0,0,0,0,40,10
Emil Bemstrom,CLS,C,28,3,6,9,-2,2,39,1,2,1,0,0,26,8
Tyler Bozak,STL,C,32,3,9,12,-1,6,46,0,0,0,1,0,20,16
Blake Comeau,DAL,LW,18,3,3,6,-2,16,32,0,0,0,0,0,42,3
Erik Karlsson,SJ,D,32,3,21,24,-3,12,68,0,1,6,0,0,18,48
Kyle Clifford,LA,LW,31,3,4,7,1,34,47,0,0,0,0,0,51,7
MacKenzie Weegar,FLA,D,22,3,8,11,0,20,40,0,0,0,0,0,36,24
Michael Raffl,PHI,LW,28,3,6,9,-4,2,28,1,0,0,0,0,32,14
Trevor Moore,TOR,LW,21,3,2,5,-1,4,36,0,0,0,0,1,46,12
Philippe Myers,PHI,D,17,3,6,9,14,12,22,0,0,0,0,0,29,14
Denis Malgin,FLA,C,25,3,6,9,-6,6,38,0,1,0,0,1,17,11
Erik Gustafsson,CHI,D,30,3,7,10,-4,19,49,0,0,4,0,0,43,26
Dante Fabbro,NSH,D,29,3,5,8,5,22,37,0,0,0,0,0,23,41
Corey Perry,DAL,RW,25,3,8,11,3,11,33,0,0,3,0,0,22,16
Matt Niskanen,PHI,D,31,3,10,13,4,15,58,0,1,5,0,0,60,39
Kyle Okposo,BUF,RW,22,3,4,7,1,20,25,1,0,0,0,0,24,4
Victor Rask,MIN,C,21,3,4,7,7,2,17,1,0,0,0,0,13,4
William Carrier,VGK,LW,33,3,5,8,2,23,47,1,0,0,0,0,90,6
Justin Dowling,DAL,C,21,3,1,4,0,8,23,1,0,0,0,0,22,9
Sonny Milano,CLS,LW,28,3,8,11,-3,16,38,1,0,1,0,0,16,7
Melker Karlsson,SJ,C,30,3,3,6,-7,10,20,0,0,0,0,0,25,21
Neal Pionk,WPG,D,31,3,13,16,8,10,70,1,1,7,0,0,59,36
Joel Farabee,PHI,LW,25,3,8,11,0,15,43,0,0,0,0,0,16,7
Travis Dermott,TOR,D,19,3,2,5,7,9,29,1,0,0,0,0,24,20
Josh Morrissey,WPG,D,29,3,15,18,4,8,62,0,1,6,0,0,18,26
Damon Severson,NJ,D,30,3,4,7,-12,13,36,1,0,0,0,0,30,35
Mattias Janmark,DAL,C,27,3,8,11,2,4,28,0,0,2,1,1,9,17
Chris Wagner,BOS,RW,31,3,4,7,-3,15,34,0,0,0,1,0,86,12
Morgan Rielly,TOR,D,32,3,18,21,-2,20,82,2,0,6,0,0,24,41
Mikael Backlund,CGY,C,33,3,10,13,-1,22,68,2,1,2,0,0,19,6
Ilya Kovalchuk,LA,RW,17,3,6,9,-10,12,35,0,1,2,0,0,12,9
Milan Lucic,CGY,LW,31,3,5,8,-5,34,44,1,2,1,0,0,81,10
Drake Caggiula,CHI,LW,15,3,1,4,-2,4,15,0,0,0,0,0,37,7
Michal Kempny,WAS,D,25,3,9,12,12,14,24,0,0,0,0,0,13,42
Sean Kuraly,BOS,C,32,3,8,11,0,16,50,0,0,1,0,1,68,13
Miles Wood,NJ,LW,30,3,4,7,-12,22,54,1,0,0,0,0,36,8
Henri Jokiharju,BUF,D,32,3,6,9,5,22,41,0,1,0,0,0,27,28
Brett Howden,NYR,C,30,3,5,8,-6,4,30,1,0,0,0,2,31,31
Jared Spurgeon,MIN,D,28,3,13,16,-6,8,51,0,0,4,0,0,24,56
Cody Eakin,VGK,C,24,3,4,7,-6,12,38,0,0,1,0,0,19,9
Brendan Smith,NYR,D,30,3,3,6,-5,29,26,0,0,0,1,1,52,12
Cedric Paquette,TB,C,21,3,6,9,-2,20,31,0,0,0,1,0,68,19
J.T. Compher,COL,C,28,3,14,17,15,8,42,0,0,2,0,2,18,21
Joel Edmundson,CAR,D,31,3,6,9,8,41,44,0,0,0,0,0,50,45
Andrew Shaw,CHI,C,26,3,7,10,-4,33,46,0,1,1,0,0,74,9
Will Butcher,NJ,D,28,3,6,9,-8,4,34,1,0,0,0,0,16,31
Jaccob Slavin,CAR,D,31,3,14,17,14,6,68,2,0,0,0,1,20,55
Nick Paul,OTT,LW,27,3,6,9,2,15,44,1,0,1,0,0,61,20
Jordan Weal,MON,C,24,3,1,4,-6,10,36,1,1,0,0,0,15,12
Rocco Grimaldi,NSH,C,26,3,11,14,8,4,39,1,0,0,0,0,10,4
Shea Theodore,VGK,D,33,3,9,12,-1,12,88,0,0,5,0,0,12,36
Brendan Leipsic,WAS,LW,33,3,5,8,1,4,29,1,0,1,0,0,29,10
Jordan Staal,CAR,C,31,3,7,10,0,14,52,0,1,1,0,0,72,16
Keith Yandle,FLA,D,30,3,23,26,6,8,58,0,2,13,0,0,10,31
Cal Clutterbuck,NYI,RW,29,3,4,7,9,20,31,0,0,0,1,1,101,30
Alex Chiasson,EDM,RW,28,3,7,10,-2,18,42,1,2,3,0,0,26,10
Robert Thomas,STL,C,27,3,9,12,4,6,32,2,0,0,0,0,5,5
Troy Terry,ANH,C,30,3,5,8,-6,6,39,0,0,0,0,0,2,5
Eric Robinson,CLS,LW,10,3,1,4,1,4,12,1,0,0,0,0,12,3
Jesperi Kotkaniemi,MON,C,22,3,2,5,-6,2,29,0,0,1,0,0,42,10
Blake Lizotte,LA,LW,32,3,8,11,0,8,41,0,0,1,1,0,18,10
Carson Soucy,MIN,D,28,3,2,5,9,4,23,1,0,0,0,0,35,22
John Marino,PIT,D,29,3,10,13,11,8,42,0,1,1,0,0,46,37
Thomas Chabot,OTT,D,32,3,17,20,-5,18,81,0,0,5,0,0,37,35
Sam Bennett,CGY,LW,20,3,2,5,3,20,37,0,0,1,0,0,41,6
Max Jones,ANH,LW,23,3,2,5,0,10,41,0,0,0,0,0,24,4
Victor Mete,MON,D,26,3,5,8,6,10,34,1,0,0,0,0,9,34
Ryan Reaves,VGK,RW,33,3,2,5,0,24,30,0,0,0,0,0,145,13
Markus Granlund,EDM,C,28,3,1,4,-2,14,21,1,0,0,0,0,11,18
Tyson Barrie,TOR,D,32,3,9,12,-12,6,82,0,1,2,0,0,26,32
Vladimir Tarasenko,STL,RW,10,3,7,10,-2,0,26,0,1,2,0,0,17,7
Valtteri Filppula,DET,C,32,3,9,12,-26,12,29,0,0,1,1,0,15,11
Jeff Petry,MON,D,32,3,13,16,-5,16,66,1,2,3,0,0,90,35
Brent Seabrook,CHI,D,29,3,1,4,4,6,37,1,1,0,0,0,50,55
Jake Muzzin,TOR,D,31,3,10,13,7,22,61,0,0,0,0,1,67,50
Ryan Suter,MIN,D,31,3,14,17,-6,8,43,1,1,7,0,0,28,38
Michael Frolik,CGY,LW,31,3,4,7,-11,20,36,0,0,0,0,0,15,9
Jordan Greenway,MIN,LW,29,3,7,10,-1,16,37,1,0,1,0,0,50,15
Ondrej Kase,ANH,RW,25,3,9,12,1,4,58,0,0,1,0,0,7,4
Nick Ritchie,ANH,LW,27,3,7,10,-3,54,49,1,1,1,0,0,46,9
Noah Hanifin,CGY,D,33,3,5,8,-13,6,66,0,1,2,0,0,51,49
Mathew Dumba,MIN,D,31,3,6,9,-10,31,71,0,0,3,0,1,54,39
Dillon Dube,CGY,C,11,3,4,7,4,2,14,1,0,0,0,0,12,2
Dmytro Timashov,TOR,LW,21,2,4,6,1,8,17,0,0,0,0,0,55,7
Dominik Simon,PIT,C,31,2,11,13,-2,6,58,0,0,1,0,0,23,11
Maxime Comtois,ANH,LW,15,2,3,5,0,8,19,0,1,0,0,0,36,3
Dominic Toninato,FLA,LW,13,2,0,2,-2,7,12,0,0,0,0,0,18,5
Connor Clifton,BOS,D,25,2,0,2,4,6,19,0,0,0,0,0,70,28
Quinn Hughes,VAN,D,30,2,22,24,-3,6,52,0,1,13,0,0,3,18
Brock McGinn,CAR,LW,31,2,4,6,-1,13,47,0,0,0,1,0,33,10
Tobias Rieder,CGY,RW,24,2,2,4,-7,2,33,0,0,0,1,0,11,8
Darnell Nurse,EDM,D,33,2,13,15,2,24,75,0,0,2,0,0,67,53
Rasmus Ristolainen,BUF,D,32,2,12,14,9,26,67,0,1,1,0,0,100,40
Tyler Graovac,VAN,C,8,2,0,2,-2,2,5,0,2,0,0,0,6,3
Bryan Little,WPG,C,7,2,3,5,4,2,13,1,0,0,0,0,3,3
Colton Sceviour,FLA,RW,30,2,6,8,-4,2,51,0,0,0,0,0,30,24
Dmitry Orlov,WAS,D,33,2,11,13,-4,14,48,1,1,2,0,0,53,40
Anton Stralman,FLA,D,30,2,8,10,-8,4,37,1,0,0,0,1,31,44
Erik Cernak,TB,D,26,2,2,4,0,23,53,0,0,0,0,0,64,34
Kurtis MacDermid,LA,D,17,2,1,3,-3,20,23,0,0,0,0,0,36,19
Alexander Wennberg,CLS,C,29,2,8,10,-2,6,39,0,1,3,0,0,9,14
Craig Smith,NSH,RW,29,2,7,9,9,10,68,0,0,1,0,0,28,8
Taro Hirose,DET,LW,23,2,5,7,-11,6,16,0,0,5,0,0,11,12
Gaetan Haas,EDM,C,25,2,4,6,-2,0,20,0,0,1,0,0,24,15
Dennis Cholowski,DET,D,29,2,6,8,-22,4,43,1,1,4,0,0,14,27
Colin White,OTT,C,25,2,5,7,-5,20,35,0,0,1,0,0,14,11
Nick Holden,VGK,D,24,2,3,5,-4,4,34,0,1,0,0,1,52,33
Alex Goligoski,ARI,D,33,2,15,17,8,14,56,0,1,4,0,0,49,66
Alex Galchenyuk,PIT,RW,22,2,8,10,-3,4,42,0,1,3,0,0,20,5
Jordan Martinook,CAR,LW,16,2,2,4,-3,8,14,1,0,0,0,0,25,11
Ross Johnston,NYI,LW,15,2,0,2,2,35,8,0,0,0,0,0,50,6
Pavel Zacha,NJ,C,27,2,10,12,-15,6,35,0,0,0,0,1,16,9
Nate Schmidt,VGK,D,21,2,10,12,-3,2,42,0,0,3,0,0,13,40
Nick Shore,WPG,C,23,2,1,3,2,12,10,0,0,0,0,0,21,7
Haydn Fleury,CAR,D,18,2,2,4,-3,2,26,0,0,0,0,0,13,16
Riley Nash,CLS,C,25,2,5,7,1,4,27,1,0,0,1,0,22,17
Jordan Eberle,NYI,RW,19,2,7,9,-2,4,38,0,1,2,0,0,7,13
Marco Scandella,BUF,D,24,2,5,7,13,4,31,0,0,0,0,0,24,27
Richard Panik,WAS,RW,23,2,0,2,4,10,31,0,0,0,0,0,26,7
Markus Nutivaara,CLS,D,10,2,0,2,-1,2,14,0,0,0,0,0,12,11
Rasmus Andersson,CGY,D,33,2,8,10,-3,15,64,0,0,2,0,0,26,35
Nate Thompson,MON,C,32,2,7,9,0,9,33,1,0,0,0,1,52,29
Jake McCabe,BUF,D,30,2,5,7,-3,16,38,1,0,0,0,0,47,52
Tyler Pitlick,PHI,C,27,2,4,6,-3,4,23,0,0,0,0,0,54,13
Esa Lindell,DAL,D,32,2,6,8,8,4,42,1,1,2,0,0,35,52
Austin Czarnik,CGY,C,8,2,1,3,1,0,9,0,1,0,0,0,1,2
Nic Dowd,WAS,C,22,2,4,6,3,8,13,1,0,0,1,0,29,7
Brandon Montour,BUF,D,18,2,7,9,5,10,41,0,0,1,0,0,15,15
Gerald Mayhew,MIN,C,6,2,0,2,2,2,9,0,0,0,0,0,4,1
Joakim Nygard,EDM,LW,17,2,3,5,-1,4,26,0,1,0,0,0,16,4
Morgan Frost,PHI,C,11,2,2,4,-2,0,27,0,0,0,1,0,3,2
Troy Stecher,VAN,D,31,2,5,7,3,20,39,0,0,0,0,0,34,26
Austin Wagner,LA,LW,28,2,3,5,-3,18,59,0,0,0,0,0,70,7
Josh Brown,FLA,D,25,2,2,4,-6,16,13,1,0,0,0,0,33,24
Frederik Gauthier,TOR,C,29,2,3,5,-2,10,22,0,0,0,0,0,40,12
Ryan Murray,CLS,D,22,2,4,6,-8,4,26,0,0,1,0,0,8,40
Zac Rinaldo,CGY,C,5,2,1,3,1,19,6,1,0,0,0,0,16,0
Oliver Ekman-Larsson,ARI,D,33,2,9,11,-3,12,66,0,0,3,0,0,60,38
Matt Martin,NYI,LW,17,2,1,3,2,0,13,1,0,0,0,0,82,4
Jake Gardiner,CAR,D,31,2,6,8,-17,18,40,1,0,3,0,0,26,24
Dylan Gambrell,SJ,C,28,2,4,6,-8,13,19,0,0,1,0,0,18,20
Devon Toews,NYI,D,29,2,10,12,8,8,51,1,0,2,0,0,20,30
Jesper Boqvist,NJ,C,17,2,0,2,-4,4,24,0,0,0,0,0,25,9
Joel Eriksson Ek,MIN,C,28,2,9,11,0,8,49,0,0,0,0,0,55,26
John Klingberg,DAL,D,26,2,8,10,-11,14,55,0,1,5,0,0,18,32
Brett Ritchie,BOS,RW,18,2,2,4,-4,19,25,1,0,1,0,0,54,1
Brandon Carlo,BOS,D,32,2,8,10,7,6,51,0,0,0,0,0,59,37
Filip Chlapik,OTT,C,18,2,3,5,-1,10,17,1,0,0,0,0,30,3
Matt Grzelcyk,BOS,D,32,2,7,9,0,12,60,0,0,3,0,1,28,33
Travis Sanheim,PHI,D,31,2,6,8,2,12,50,0,0,0,0,0,14,28
Brayden McNabb,VGK,D,33,2,4,6,0,30,31,0,0,0,1,0,102,57
Marcus Foligno,MIN,LW,21,2,6,8,4,4,25,0,0,0,0,0,77,11
Mikko Koivu,MIN,C,28,2,10,12,2,10,46,0,1,5,0,1,9,18
P.K. Subban,NJ,D,30,2,3,5,-15,34,68,1,0,0,0,0,35,36
Travis Boyd,WAS,C,16,2,6,8,7,0,17,0,0,1,0,0,7,5
Colton Parayko,STL,D,32,2,10,12,1,8,70,0,0,2,0,1,37,57
Sam Steel,ANH,C,26,2,8,10,-7,6,33,0,1,3,0,0,10,9
Vladislav Gavrikov,CLS,D,29,2,2,4,-1,12,33,0,0,0,0,0,31,29
Mark Borowiecki,OTT,D,32,2,8,10,3,31,38,0,0,0,0,0,127,69
Oscar Klefbom,EDM,D,33,2,17,19,-20,6,81,0,1,10,0,0,28,103
Connor Murphy,CHI,D,19,2,3,5,-1,2,34,0,0,0,0,1,41,35
Justin Schultz,PIT,D,24,2,6,8,-6,0,59,0,0,3,0,0,23,19
Nick Leddy,NYI,D,23,2,9,11,5,6,27,0,1,1,0,0,22,29
Brian Dumoulin,PIT,D,23,1,6,7,17,8,33,0,0,1,1,0,39,27
Deryk Engelland,VGK,D,28,1,3,4,6,18,40,1,0,0,0,1,72,51
Travis Hamonic,CGY,D,27,1,4,5,-6,17,38,0,0,0,0,0,20,57
Riley Sheahan,EDM,C,28,1,1,2,-10,0,27,0,0,0,0,0,13,10
Johnny Boychuk,NYI,D,28,1,6,7,2,8,43,0,1,0,0,0,66,55
Ian Cole,COL,D,26,1,11,12,15,24,28,1,0,0,0,0,37,60
Cody Ceci,TOR,D,32,1,5,6,6,10,31,1,0,0,0,0,51,58
Gemel Smith,TB,C,3,1,0,1,0,4,1,0,0,0,0,0,1,2
Micheal Ferland,VAN,LW,14,1,4,5,-3,7,15,0,0,0,0,0,40,2
Jacob Larsson,ANH,D,25,1,2,3,-3,8,27,0,0,0,0,0,14,24
Ryan Lindgren,NYR,D,20,1,6,7,4,12,17,0,0,0,0,0,36,24
Marcus Pettersson,PIT,D,31,1,9,10,1,8,35,0,0,1,0,0,53,28
Josh Anderson,CLS,RW,24,1,3,4,-8,12,63,0,0,0,0,0,57,12
Barrett Hayton,ARI,C,14,1,3,4,1,12,20,1,0,0,0,0,10,2
Par Lindholm,BOS,C,20,1,0,1,2,4,16,0,0,0,0,0,12,8
Adam Boqvist,CHI,D,7,1,1,2,-2,4,12,0,0,1,0,0,5,3
Vladimir Sobotka,BUF,C,16,1,2,3,2,4,23,0,0,0,0,0,26,7
Niklas Hjalmarsson,ARI,D,4,1,0,1,1,0,4,0,0,0,0,0,2,4
Braydon Coburn,TB,D,17,1,0,1,2,4,21,0,0,0,0,0,24,10
Micheal Haley,NYR,LW,14,1,0,1,-4,40,8,0,0,0,0,0,21,5
Chris Tanev,VAN,D,31,1,6,7,3,10,18,0,0,0,0,1,19,77
Jayce Hawryluk,FLA,C,8,1,2,3,-1,4,5,0,0,0,0,0,16,5
Brandon Manning,EDM,D,9,1,0,1,-1,17,8,0,0,0,0,0,10,6
Curtis Lazar,BUF,C,6,1,0,1,-2,7,2,0,0,0,0,0,13,5
Logan Brown,OTT,C,17,1,5,6,-2,4,19,1,1,2,0,0,7,6
Vitali Abramov,OTT,RW,2,1,0,1,0,2,3,0,0,0,0,0,0,0
Nick Caamano,DAL,RW,12,1,1,2,2,4,13,0,0,0,0,0,17,3
Cale Fleury,MON,D,26,1,0,1,-6,2,25,0,0,0,0,0,70,31
Rasmus Dahlin,BUF,D,24,1,15,16,2,20,33,0,0,7,0,0,26,14
Tucker Poolman,WPG,D,29,1,10,11,4,4,31,0,0,0,0,0,24,27
Joel L'Esperance,DAL,C,3,1,0,1,0,2,2,0,0,0,0,0,1,1
Logan O'Connor,COL,C,7,1,0,1,3,2,8,0,0,0,0,0,3,4
Luke Schenn,TB,D,13,1,0,1,-7,13,13,0,0,0,0,0,38,11
Tyler Myers,VAN,D,31,1,5,6,-3,20,60,0,0,0,1,0,38,40
Michael Del Zotto,ANH,D,21,1,4,5,8,4,20,0,0,1,0,0,42,24
David Backes,BOS,RW,11,1,2,3,-1,16,21,1,1,0,0,0,18,2
Bobby Ryan,OTT,RW,16,1,3,4,0,11,21,0,0,0,0,0,24,3
Marc Staal,NYR,D,14,1,2,3,2,10,15,0,0,0,0,0,18,29
Calvin de Haan,CHI,D,29,1,5,6,10,10,42,0,0,0,0,0,93,73
Jonas Brodin,MIN,D,31,1,11,12,5,6,40,0,0,0,0,0,25,38
Mike Matheson,FLA,D,25,1,2,3,-9,2,55,0,0,1,0,0,18,26
Chad Ruhwedel,PIT,D,8,1,2,3,1,10,14,0,0,0,0,0,35,2
Ryan Carpenter,CHI,C,30,1,7,8,2,10,24,0,0,0,1,1,56,21
Cole Bardreau,NYI,LW,9,1,1,2,-1,6,9,1,0,0,0,0,19,1
Colby Cave,EDM,C,5,1,0,1,-1,2,2,0,0,0,0,0,12,0
Vladislav Kamenev,COL,C,17,1,3,4,1,4,17,1,0,1,0,0,9,9
Dean Kukan,CLS,D,22,1,3,4,-5,6,32,0,1,0,0,0,19,19
Klim Kostin,STL,RW,4,1,0,1,1,0,5,0,0,0,0,0,6,0
Noah Gregor,SJ,C,17,1,0,1,-5,2,17,0,0,0,0,0,23,1
Daniel Carr,NSH,LW,10,1,0,1,-3,4,13,0,0,0,0,0,10,2
Luke Witkowski,TB,RW,12,1,2,3,-4,13,10,0,0,0,0,0,38,3
Dmitry Kulikov,WPG,D,25,1,3,4,2,18,28,0,0,0,0,0,40,38
Erik Johnson,COL,D,23,1,5,6,-4,6,39,0,0,0,0,0,37,48
Jay Bouwmeester,STL,D,32,1,5,6,4,12,32,0,0,0,0,1,26,41
Luca Sbisa,WPG,D,19,1,4,5,2,10,27,0,0,0,0,0,39,30
Michael Stone,CGY,D,17,1,2,3,1,10,25,0,0,0,0,0,25,22
Joseph Blandisi,PIT,C,11,1,2,3,0,2,6,1,0,0,0,0,17,6
Samuel Girard,COL,D,31,1,9,10,3,7,40,0,1,2,0,0,26,42
Radim Simek,SJ,D,16,1,3,4,-12,8,15,0,0,0,0,0,36,22
Josh Mahura,ANH,D,9,1,3,4,-3,2,6,0,0,0,0,0,1,10
Ville Heinola,WPG,D,8,1,4,5,3,4,10,0,0,1,0,0,3,5
Nick Bjugstad,PIT,C,10,1,0,1,2,8,16,0,0,0,0,0,19,6
Mark Pysyk,FLA,D,21,1,1,2,-4,6,17,0,0,0,0,0,16,17
Justin Faulk,STL,D,32,1,6,7,-6,12,60,0,0,1,0,0,36,28
Patrik Nemeth,DET,D,26,1,3,4,-6,12,44,1,0,0,0,0,25,29
Paul Byron,MON,C,19,1,3,4,3,4,11,0,0,0,0,0,28,11
Sam Gagner,EDM,C,15,1,6,7,-2,2,27,0,0,1,0,0,10,4
Mike Green,DET,D,24,1,4,5,-16,18,41,0,0,2,0,0,22,39
Loui Eriksson,VAN,RW,17,1,0,1,-3,8,15,0,0,0,0,0,1,7
Ron Hainsey,OTT,D,32,1,5,6,3,6,21,1,0,0,0,2,26,48
Josh Archibald,EDM,RW,24,1,0,1,-11,6,24,0,0,0,0,0,59,14
Colin Miller,BUF,D,25,1,4,5,-4,8,38,1,0,3,0,0,39,22
Gabriel Bourque,WPG,LW,17,1,2,3,1,0,18,0,0,0,0,0,51,15
Taylor Fedun,DAL,D,21,1,7,8,3,6,30,0,0,0,0,0,11,16
Olli Maatta,CHI,D,27,1,7,8,-3,4,32,0,0,0,0,1,57,46
Devin Shore,ANH,C,17,1,3,4,0,4,22,0,0,1,0,0,18,7
Nikita Zadorov,COL,D,27,1,3,4,6,43,32,0,0,0,0,0,88,38
Nathan Walker,STL,C,5,1,1,2,-2,4,6,0,0,0,0,0,10,1
Nicolas Roy,VGK,C,7,1,2,3,1,6,6,1,0,0,0,0,11,2
Adam Pelech,NYI,D,29,1,6,7,3,18,40,0,0,0,0,1,57,68
Erik Gudbranson,ANH,D,27,1,3,4,8,70,36,0,0,0,0,0,46,27
Scott Sabourin,OTT,RW,11,1,1,2,-3,13,9,0,0,0,0,0,26,5
T.J. Brodie,CGY,D,28,1,9,10,5,16,29,0,0,1,0,0,9,40
Miikka Salomaki,NSH,RW,5,1,0,1,2,4,2,1,0,0,0,0,9,3
Yakov Trenin,NSH,C,2,1,0,1,0,2,2,0,0,0,0,0,2,1
Jonas Siegenthaler,WAS,D,33,1,4,5,6,20,23,1,0,0,0,0,29,55
Carsen Twarynski,PHI,LW,14,1,0,1,-1,4,13,0,0,0,0,0,38,6
Jacob De La Rose,STL,C,29,1,4,5,4,4,27,0,0,0,0,0,70,11
Madison Bowey,DET,D,22,1,7,8,-13,16,27,0,0,0,0,0,19,21
Joakim Ryan,LA,D,19,1,2,3,0,4,21,0,0,0,0,0,11,23
Michael Dal Colle,NYI,LW,24,1,2,3,0,10,16,0,0,0,0,0,33,10
Ryan McDonagh,TB,D,29,1,8,9,2,9,32,0,0,0,0,1,20,65
Troy Brouwer,STL,RW,8,1,0,1,2,5,7,0,0,0,0,0,18,5
Zack Smith,CHI,C,24,1,4,5,-1,13,24,0,0,0,0,1,54,8
Duncan Keith,CHI,D,25,1,5,6,1,12,37,0,0,2,0,0,11,50
Jack Johnson,PIT,D,29,1,3,4,8,8,23,0,0,0,0,0,82,32
Andrew Cogliano,DAL,LW,31,1,5,6,0,12,25,0,0,0,0,0,37,14
Justin Holl,TOR,D,30,1,9,10,10,16,33,0,0,0,0,0,40,26
Carl Gunnarsson,STL,D,16,1,3,4,0,8,9,0,0,0,0,1,12,18
Kyle Capobianco,ARI,D,7,1,0,1,-1,2,6,0,0,0,0,0,8,9
David Gustafsson,WPG,C,22,1,0,1,-2,0,4,1,0,0,0,0,5,6
Zach MacEwen,VAN,C,7,1,1,2,3,2,3,0,0,0,0,0,19,2
Christoffer Ehn,DET,C,23,1,0,1,-10,2,13,0,0,0,0,0,28,9
Adam Johnson,PIT,C,7,1,1,2,-1,2,5,0,0,0,0,0,4,3
Jay Beagle,VAN,C,22,1,2,3,-5,16,24,1,0,0,1,1,26,12
Greg McKegg,NYR,C,17,1,1,2,0,7,11,0,0,0,1,0,24,5
Trevor Lewis,LA,C,24,1,4,5,-1,10,41,0,0,0,0,0,33,13
Ben Hutton,LA,D,32,1,4,5,-4,6,58,0,0,0,0,0,25,44
Carter Verhaeghe,TB,C,19,1,3,4,-3,4,25,0,0,0,0,0,7,0
Stefan Noesen,PIT,C,4,1,0,1,1,0,5,0,0,0,0,0,5,1
Nicolas Deslauriers,ANH,LW,19,1,3,4,-1,41,15,0,0,0,0,0,51,8
Alan Quine,CGY,C,9,1,0,1,-1,4,12,0,0,0,0,0,6,2
Pierre Engvall,TOR,LW,10,1,2,3,1,0,12,1,0,0,1,1,5,2
Oscar Fantenberg,VAN,D,4,1,0,1,3,0,4,0,0,0,0,0,6,6
Brendan Guhle,ANH,D,18,1,3,4,-3,8,22,0,0,0,0,0,8,20
Rasmus Asplund,BUF,C,14,1,2,3,4,4,23,0,0,0,0,1,10,3
Matthew Highmore,CHI,C,2,0,0,0,0,0,0,0,0,0,0,0,4,0
Mikhail Vorobyov,PHI,C,8,0,1,1,0,0,5,0,0,0,0,0,2,2
Tyler Motte,VAN,C,6,0,1,1,-1,2,3,0,0,0,0,0,17,8
Nikita Zaitsev,OTT,D,31,0,7,7,-1,8,33,0,0,0,0,0,52,71
German Rubtsov,PHI,C,3,0,0,0,-1,0,1,0,0,0,0,0,2,4
Max Veronneau,OTT,RW,4,0,0,0,-2,0,3,0,0,0,0,0,2,2
Nicolas Hague,VGK,D,25,0,6,6,-1,20,27,0,0,3,0,0,42,17
Mario Ferraro,SJ,D,30,0,5,5,-10,16,26,0,0,0,0,1,60,23
Mason Appleton,WPG,C,9,0,0,0,-1,2,9,0,0,0,0,0,6,4
Andy Andreoff,PHI,C,6,0,1,1,0,0,8,0,0,0,0,0,9,3
Mark Jankowski,CGY,C,29,0,1,1,-10,6,15,0,0,0,0,0,9,14
Boo Nieves,NYR,C,4,0,0,0,2,4,2,0,0,0,0,0,3,2
Evan Rodrigues,BUF,C,16,0,2,2,-3,0,26,0,0,0,0,0,9,2
Alexander Volkov,TB,LW,4,0,0,0,-5,0,3,0,0,0,0,0,5,1
Mitchell Stephens,TB,C,2,0,0,0,-2,0,2,0,0,0,0,0,2,2
Joe Hicketts,DET,D,6,0,2,2,-5,2,6,0,0,0,0,0,14,13
Clark Bishop,CAR,C,5,0,1,1,-2,4,4,0,0,0,0,0,5,0
Nikolay Goldobin,VAN,RW,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Tomas Jurco,EDM,RW,12,0,2,2,1,4,7,0,0,0,0,0,4,3
Carl Hagelin,WAS,LW,22,0,6,6,2,4,32,0,0,0,0,1,10,5
Adam Larsson,EDM,D,11,0,0,0,-7,17,12,0,0,0,0,0,16,25
Brandon Pirri,VGK,C,11,0,1,1,-3,6,19,0,0,0,0,0,9,2
Dylan Sikura,CHI,LW,2,0,0,0,-1,0,2,0,0,0,0,0,0,0
Brett Seney,NJ,LW,2,0,0,0,-1,0,1,0,0,0,0,0,2,0
Martin Fehervary,WAS,D,3,0,0,0,0,2,4,0,0,0,0,0,6,0
Anton Wedin,CHI,LW,4,0,0,0,1,4,2,0,0,0,0,0,5,1
Justin Braun,PHI,D,31,0,5,5,-12,10,41,0,0,0,0,0,39,43
Jon Merrill,VGK,D,30,0,3,3,-1,20,23,0,0,0,0,0,33,46
Alexander Steen,STL,LW,17,0,5,5,2,4,22,0,0,0,0,0,5,21
Jason Demers,ARI,D,30,0,5,5,1,17,31,0,0,0,0,1,42,41
Mikkel Boedker,OTT,LW,6,0,1,1,1,0,5,0,0,0,0,0,1,1
Cody Goloubef,OTT,D,6,0,0,0,1,2,1,0,0,0,0,0,11,3
Jacob Middleton,SJ,D,1,0,0,0,0,0,0,0,0,0,0,0,2,1
Sami Niku,WPG,D,1,0,0,0,0,0,1,0,0,0,0,0,2,3
Caleb Jones,EDM,D,10,0,1,1,-3,0,5,0,0,0,0,0,8,10
Matt Benning,EDM,D,24,0,5,5,8,10,18,0,0,0,0,0,50,20
Henrik Borgstrom,FLA,C,4,0,0,0,-2,2,3,0,0,0,0,0,1,0
Max Lajoie,OTT,D,3,0,0,0,1,0,2,0,0,0,0,0,1,2
