,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Pierre-Luc Dubois,CLS,C,30,10,8,18,-9,23,77,1,1,5,0,0,36,26
Timo Meier,SJ,LW,33,10,10,20,-10,18,88,1,1,0,0,0,69,22
Brayden Point,TB,C,26,10,11,21,4,5,56,2,4,1,0,0,10,13
Aleksander Barkov,FLA,C,30,10,26,36,4,14,85,2,5,6,0,0,10,15
Nazem Kadri,COL,C,28,10,11,21,4,38,72,1,3,4,0,0,40,3
Nikita Kucherov,TB,RW,28,10,21,31,5,16,80,1,2,10,0,0,17,11
Claude Giroux,PHI,C,31,10,12,22,7,18,97,4,3,5,0,1,28,11
Tyler Bertuzzi,DET,LW,32,10,15,25,-13,10,64,0,0,7,0,0,27,15
Sean Monahan,CGY,C,33,10,16,26,-12,8,82,2,3,6,0,0,35,10
Jared McCann,PIT,C,29,9,9,18,11,4,56,2,1,1,0,0,48,15
William Karlsson,VGK,C,33,9,17,26,6,14,72,1,2,3,2,3,26,23
Blake Coleman,NJ,C,30,9,7,16,2,22,71,1,0,0,0,0,89,23
Alex Killorn,TB,C,27,9,15,24,6,10,55,2,4,4,0,0,17,8
Alexander Radulov,DAL,RW,31,9,9,18,8,30,83,2,4,2,0,0,26,26
Anthony Beauvillier,NYI,LW,29,9,9,18,7,6,56,1,2,2,1,0,30,16
Patrik Laine,WPG,RW,29,9,20,29,7,8,89,0,2,5,0,0,47,15
Logan Couture,SJ,C,33,9,20,29,3,18,84,2,0,8,0,2,36,22
Patrice Bergeron,BOS,C,23,9,16,25,10,12,80,0,3,7,0,0,22,14
Jonathan Marchessault,VGK,LW,33,9,13,22,-5,12,113,2,3,5,0,0,60,6
Bryan Rust,PIT,RW,17,9,9,18,11,8,57,1,2,1,1,1,30,11
Adam Henrique,ANH,C,31,9,6,15,5,10,70,0,0,1,0,0,31,15
Ondrej Palat,TB,LW,29,9,7,16,9,14,66,2,2,2,1,0,65,25
Rickard Rakell,ANH,C,31,9,12,21,6,6,88,0,1,2,0,3,35,11
Carl Soderberg,ARI,C,33,9,9,18,0,8,50,0,4,3,0,0,36,17
Paul Stastny,VGK,C,33,8,5,13,-7,18,64,3,4,2,0,0,40,18
Brandon Saad,CHI,LW,31,8,8,16,-2,10,76,2,0,0,2,0,22,11
Dominik Kahun,PIT,C,30,8,9,17,10,8,51,2,0,1,0,0,5,9
Derek Grant,ANH,C,31,8,3,11,-1,22,45,2,0,0,2,0,25,17
Eric Staal,MIN,C,31,8,13,21,-10,20,55,3,3,2,0,0,18,9
Jeff Carter,LA,C,32,8,4,12,-9,24,106,4,1,1,0,0,31,14
Kasperi Kapanen,TOR,RW,32,8,10,18,-4,6,52,1,0,3,2,0,47,10
Christian Dvorak,ARI,LW,33,8,11,19,7,4,55,2,3,3,0,0,21,20
Mikko Rantanen,COL,RW,15,8,12,20,3,2,38,3,3,3,0,0,12,8
Alex DeBrincat,CHI,RW,31,8,14,22,4,9,90,0,5,2,0,0,36,14
Cale Makar,COL,D,29,8,20,28,10,0,58,3,2,10,0,0,19,30
Dominik Kubalik,CHI,LW,29,8,4,12,-2,6,62,0,2,2,0,0,46,10
Bo Horvat,VAN,C,31,8,17,25,-9,6,82,0,6,4,0,0,24,28
Erik Haula,CAR,C,16,8,3,11,0,6,33,1,3,2,0,0,5,5
Oskar Sundqvist,STL,C,26,8,4,12,2,16,42,1,0,0,1,0,27,12
Kevin Labanc,SJ,RW,33,8,10,18,-17,24,78,2,2,2,0,0,22,6
Tanner Pearson,VAN,LW,31,8,12,20,2,10,86,1,1,4,2,1,41,15
Tyler Ennis,OTT,LW,32,8,8,16,-5,10,70,1,3,1,0,0,31,16
Filip Chytil,NYR,C,21,8,2,10,7,6,47,2,0,0,0,0,4,13
Jaden Schwartz,STL,LW,32,8,14,22,-7,6,73,1,4,5,0,0,22,17
Anders Lee,NYI,C,29,8,8,16,5,14,69,2,1,2,0,0,59,17
Sean Couturier,PHI,C,31,8,15,23,7,14,85,1,1,4,0,0,25,16
Kevin Hayes,PHI,C,31,8,7,15,-6,14,73,1,1,0,1,0,48,10
Evgeni Malkin,PIT,C,20,8,19,27,8,8,68,2,2,4,0,0,8,10
Blake Wheeler,WPG,RW,31,8,15,23,-4,14,82,1,0,6,0,0,54,25
Josh Bailey,NYI,LW,29,8,13,21,1,4,29,2,1,4,1,0,12,21
Dylan Larkin,DET,C,32,8,12,20,-10,19,104,0,4,2,0,0,25,16
Anthony DeAngelo,NYR,D,30,7,14,21,1,19,57,1,2,4,0,0,13,18
Cam Atkinson,CLS,RW,30,7,11,18,-5,4,100,1,3,4,0,0,16,15
Matt Duchene,NSH,C,28,7,13,20,-2,8,59,0,3,2,0,0,14,7
Kris Letang,PIT,D,23,7,11,18,7,8,81,1,1,3,0,0,38,30
Josh Leivo,VAN,LW,31,7,10,17,3,4,65,0,0,3,0,0,15,7
Frank Vatrano,FLA,LW,30,7,6,13,-6,8,72,0,1,0,1,0,30,27
